Symbol,Company,GICS_Sector,GICS_Sub_Industry,Current_Price,High_52_Week,Low_52_Week,SMA5,SMA10,SMA20,SMA50,SMA200,Score,Target_Pcnt,Target_Price,Stop_Loss
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,216.3,269.54,183.6,218.01,217.32,209.27,200.42,222.27,0.1,5.34,227.85,190.68
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,94.44,109.01,77.29,94.81,94.63,96.21,101.68,100.43,0.0,10.22,104.09,88.34
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,211.27,262.29,190.36,206.33,201.94,203.66,230.32,237.79,-0.2,4.75,221.31,186.02
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",155.32,160.49,59.9,156.04,155.23,148.81,137.25,110.45,0.0,9.57,170.18,127.43
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,235.89,235.89,144.61,232.17,229.21,219.59,197.97,172.56,0.0,2.8,242.49,196.69
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,113.61,118.8,82.84,114.74,115.4,113.39,106.42,96.36,0.2,5.19,119.51,107.27
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,230.6,248.24,120.67,236.3,235.35,228.47,229.51,209.14,0.0,6.51,245.61,211.34
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,679.98,683.22,435.54,678.36,669.92,655.15,593.19,545.72,0.0,2.2,694.94,615.32
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,318.54,342.82,67.71,328.33,321.74,303.87,251.15,155.7,0.0,12.19,357.37,250.38
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,401.95,489.88,221.86,407.43,410.01,413.82,436.13,390.66,0.0,7.33,431.41,396.24
TXN,Texas Instruments,Information Technology,Semiconductors,212.63,226.56,141.15,215.89,219.57,220.68,198.78,186.99,0.2,7.84,229.3,212.07
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,526.17,531.95,273.56,516.76,486.97,427.49,358.97,336.17,0.0,7.2,564.05,290.94
TXT,Textron,Industrials,Aerospace & Defense,98.47,100.77,60.68,98.31,98.94,96.0,93.02,83.76,0.0,5.8,104.18,87.82
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,518.93,639.45,389.62,516.95,513.08,531.76,573.75,508.07,-0.2,11.96,580.99,482.54
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,161.07,161.07,111.45,158.19,157.43,155.11,154.59,140.22,0.0,0.1,161.23,148.98
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,223.45,223.81,137.6,213.96,211.98,209.32,207.95,187.47,0.2,-0.88,221.48,197.16
TTD,Trade Desk (The),Communication Services,Advertising,23.85,89.76,23.85,24.42,24.9,26.27,32.5,52.58,0.2,24.53,29.7,22.83
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,51.72,62.1,47.2,52.32,52.56,53.13,52.23,54.31,0.1,7.71,55.71,50.56
TT,Trane Technologies,Industrials,Building Products,460.77,472.54,313.81,460.32,462.75,454.74,416.08,421.66,0.1,4.95,483.58,425.9
TDG,TransDigm Group,Industrials,Aerospace & Defense,1303.41,1516.55,1152.5,1300.56,1307.6,1314.44,1346.77,1344.48,0.2,7.47,1400.77,1228.13
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,308.18,308.18,231.02,306.0,302.67,298.5,289.65,275.14,0.2,1.15,311.72,285.28
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,66.52,85.24,55.12,66.81,66.8,66.51,72.92,77.34,0.0,3.71,68.99,64.03
